tx_id,account_id,effective_date,amount,currency,status,reversal_of
T001,A1001,2024-03-01,-2000.00,USD,POSTED,
T002,A1001,2024-03-02,-500.00,EUR,POSTED,
T003,A1001,2024-02-28,100.00,USD,PENDING,
T004,A1002,2024-02-15,50.00,USD,POSTED,
T004,A1002,2024-02-15,50.00,USD,POSTED,
T005,A1002,2024-02-16,-20.00,USD,POSTED,
T006,A1002,2024-02-20,20.00,USD,POSTED,T005
T007,A1003,2024-03-01,10.00,USD,POSTED,
T008,A1003,2024-03-01,-10.00,EUR,POSTED,NOPE
T009,A1004,2024-01-15,1000.00,EUR,POSTED,
T010,A1004,2024-03-01,-1000.00,USD,POSTED,T009
T011,A1002,2024-03-01,5.00,USD,POSTED,
T012,A1002,2024-03-05,5.00,USD,POSTED,
T013,A1001,2024-02-10,30.00,GBP,POSTED,
T014,A1001,2024-03-01,-10000.00,JPY,POSTED,
T015,A1002,2024-03-01,100.00,CAD,POSTED,
T016,A9999,2024-03-01,25.00,USD,POSTED,
T016,A1001,2024-03-01,25.00,USD,POSTED,
T017,A1003,2024-03-01,-15.00,USD,POSTED,T018
T018,A1003,2024-03-01,15.00,USD,POSTED,
